club,Games Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
Toronto FC,34,20,5,9,74,37,37,69
New York City Football Club,34,16,9,9,56,43,13,57
Chicago Fire Soccer Club,34,16,11,7,61,47,14,55
Atlanta United,34,15,9,10,70,40,30,55
Columbus Crew SC,34,16,12,6,53,49,4,54
Portland Timbers,34,15,11,8,60,50,10,53
Seattle Sounders FC,34,14,9,11,52,39,13,53
Vancouver Whitecaps FC,34,15,12,7,50,49,1,52
New York Red Bulls,34,14,12,8,53,47,6,50
Houston Dynamo,34,13,10,11,57,45,12,50
Sporting Kansas City,34,12,9,13,40,29,11,49
San Jose Earthquakes,34,13,14,7,39,60,-21,46
FC Dallas,34,11,10,13,48,48,0,46
Real Salt Lake,34,13,15,6,49,55,-6,45
New England Revolution,34,13,15,6,53,61,-8,45
Philadelphia Union,34,11,14,9,50,47,3,42
Montreal Impact,34,11,17,6,52,58,-6,39
Orlando City,34,10,15,9,39,58,-19,39
Minnesota United,34,10,18,6,47,70,-23,36
Colorado Rapids,34,9,19,6,31,51,-20,33
D.C. United,34,9,20,5,31,60,-29,32
LA Galaxy,34,8,18,8,45,67,-22,32
