club,Games Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
Club Tijuana,17,10,3,4,25,13,12,33
Pachuca,17,9,4,4,36,21,15,31
Tigres U.A.N.L.,17,8,6,3,22,13,9,30
Guadalajara,17,8,4,5,21,17,4,28
Club América,17,7,7,3,29,26,3,28
UNAM,17,8,3,6,28,22,6,27
Necaxa,17,6,8,3,24,18,6,26
Club León,17,7,5,5,25,25,0,26
Monterrey,17,6,7,4,30,21,9,25
Deportivo Toluca,17,6,6,5,22,21,1,24
Querétaro,17,5,5,7,20,24,-4,20
Puebla,17,5,5,7,25,30,-5,20
Monarcas Morelia,17,5,5,7,28,34,-6,20
Cruz Azul,17,4,7,6,25,23,2,19
Club Atlas,17,4,7,6,21,25,-2,19
Santos Laguna,17,4,4,9,19,30,-11,16
Tiburones Rojos de Veracruz,17,3,3,11,22,38,-16,12
