club,Games Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
Club Tijuana,17,9,4,4,30,22,8,31
Monterrey,17,7,6,4,26,18,8,27
Guadalajara,17,7,6,4,21,18,3,27
Deportivo Toluca,17,8,3,6,21,20,1,27
Santos Laguna,17,5,11,1,25,20,5,26
Club Atlas,17,7,5,5,24,21,3,26
Tigres U.A.N.L.,17,7,4,6,26,12,14,25
Monarcas Morelia,17,6,6,5,19,16,3,24
Club América,17,7,3,7,19,19,0,24
Pachuca,17,6,6,5,16,16,0,24
Cruz Azul,17,5,6,6,19,20,-1,21
Necaxa,17,5,6,6,16,21,-5,21
Tiburones Rojos de Veracruz,17,7,0,10,14,21,-7,21
Club León,17,5,5,7,21,23,-2,20
Querétaro,17,5,4,8,21,27,-6,19
U.N.A.M.,17,5,3,9,21,30,-9,18
Puebla,17,4,4,9,18,25,-7,16
