club,Games Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points
AS Monaco,38,30,5,3,107,31,76,95
Paris Saint-Germain,38,27,6,5,83,27,56,87
OGC Nice,38,22,12,4,63,36,27,78
Olympique Lyonnais,38,21,4,13,77,48,29,67
Olympique de Marseille,38,17,11,10,57,41,16,62
Girondins de Bordeaux,38,15,14,9,53,43,10,59
FC Nantes,38,14,9,15,40,54,-14,51
AS Saint-Étienne,38,12,14,12,41,42,-1,50
Stade Rennais FC,38,12,14,12,36,42,-6,50
En Avant de Guingamp,38,14,8,16,46,53,-7,50
LOSC Lille,38,13,7,18,40,47,-7,46
Angers SCO,38,13,7,18,40,49,-9,46
Toulouse FC,38,10,14,14,37,41,-4,44
FC Metz,38,11,10,17,39,72,-33,43
Montpellier Hérault SC,38,10,9,19,48,66,-18,39
Dijon FCO,38,8,13,17,46,58,-12,37
SM Caen,38,10,7,21,36,65,-29,37
